power,selfprotection,average_earth_discharge_density_ddt_rayskm2ao,burning_rate__failuresyear,criticality_according_to_previous_study_for_ceramics_level,removable_connectors,number_of_users,km_of_network_lt,power_per_user,lightning_risk_score,network_density,historical_risk_index,type_of_clients_COMMERCIAL,type_of_clients_INDUSTRIAL,type_of_clients_OFFICIAL,type_of_clients_STRATUM 1,type_of_clients_STRATUM 2,type_of_clients_STRATUM 3,type_of_clients_STRATUM 4,type_of_clients_STRATUM 5,type_of_clients_STRATUM 6,type_of_installation_CABINA,type_of_installation_EN H,type_of_installation_MACRO WITHOUT ANTI-FRAUD NET,type_of_installation_OTROS,type_of_installation_PAD MOUNTED,type_of_installation_POLE,type_of_installation_POLE WITH ANTI-FRAUD NET,type_of_installation_TORRE METALICA,target
112.5,0,3.1556016597510377,0.0,0,1,94,0.32362,1.1842105263157894,6.311203319502075,0.0028512775330396,0.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
10.0,0,3.1556016597510377,0.0,0,1,1,0.30036,5.0,6.311203319502075,0.0273054545454545,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
25.0,0,3.1556016597510377,0.0,0,1,74,0.29695,0.3333333333333333,6.311203319502075,0.0114211538461538,0.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
75.0,0,3.1556016597510377,0.0,0,1,30,0.12575,2.419354838709677,6.311203319502075,0.0016546052631578,0.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
75.0,0,3.1556016597510377,0.0,0,1,24,0.16605,3.0,6.311203319502075,0.0021848684210526,0.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
30.0,0,3.1556016597510377,0.0,0,1,31,0.1918,0.9375,6.311203319502075,0.0061870967741935,0.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
112.5,0,3.1556016597510377,0.0,0,1,140,0.69712,0.7978723404255319,6.311203319502075,0.006142026431718,0.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
45.0,0,3.1556016597510377,0.4,0,1,47,0.13414,0.9375,6.311203319502075,0.0029160869565217,0.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
75.0,0,3.1556016597510377,0.0,0,1,63,0.34577,1.171875,6.311203319502075,0.0045496052631578,0.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
75.0,0,3.1556016597510377,0.0,0,1,46,0.19579,1.5957446808510638,6.311203319502075,0.0025761842105263,0.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
112.5,0,3.1556016597510377,0.2,0,1,39,0.1886,2.8125,6.311203319502075,0.0016616740088105,0.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
75.0,0,3.1556016597510377,0.0,0,1,86,0.36148,0.8620689655172413,6.311203319502075,0.0047563157894736,0.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
112.5,0,3.1556016597510377,0.0,0,1,41,0.25781,2.6785714285714284,6.311203319502075,0.0022714537444933,0.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
75.0,0,3.1556016597510377,0.0,0,1,98,0.34903,0.7575757575757576,6.311203319502075,0.0045925,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
10.0,0,4.868884540117413,0.4,1,1,3,0.4629,2.5,9.737769080234823,0.0420818181818181,0.4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
30.0,0,3.1556016597510377,0.0,0,1,43,0.17294,0.6818181818181818,6.311203319502075,0.0055787096774193,0.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
75.0,0,3.1556016597510377,0.0,0,1,52,0.17004,1.4150943396226414,6.311203319502075,0.0022373684210526,0.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
45.0,0,3.1556016597510377,0.0,0,1,44,0.25415,1.0,6.311203319502075,0.0055249999999999,0.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
75.0,0,3.1556016597510377,0.0,0,1,16,0.2947,4.411764705882353,6.311203319502075,0.0038776315789473,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
30.0,0,3.1556016597510377,0.0,0,1,14,0.0,2.0,6.311203319502075,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
1125.0,0,3.1556016597510377,0.0,0,1,183,0.59143,6.114130434782608,6.311203319502075,0.0005252486678507,0.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
112.5,0,3.1556016597510377,0.0,0,1,58,0.47448,1.9067796610169487,6.311203319502075,0.0041804405286343,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
75.0,0,3.1556016597510377,0.0,0,1,103,0.41517,0.7211538461538461,6.311203319502075,0.0054627631578947,0.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
112.5,0,3.1556016597510377,0.0,0,1,149,0.5038,0.75,6.311203319502075,0.0044387665198237,0.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
75.0,0,3.1556016597510377,0.0,0,1,30,0.18758,2.419354838709677,6.311203319502075,0.0024681578947368,0.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
112.5,0,3.1556016597510377,0.0,0,1,1,0.0,56.25,6.311203319502075,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
75.0,0,3.1556016597510377,0.0,1,1,1,0.928,37.5,6.311203319502075,0.0122105263157894,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
75.0,0,3.1556016597510377,0.0,0,1,2,0.25214,25.0,6.311203319502075,0.0033176315789473,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
75.0,0,3.1556016597510377,0.0,0,1,39,0.21738,1.875,6.311203319502075,0.0028602631578947,0.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
75.0,0,3.1556016597510377,0.0,0,1,62,0.44252,1.1904761904761905,6.311203319502075,0.0058226315789473,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
45.0,0,3.1556016597510377,0.0,0,1,28,0.20539,1.5517241379310345,6.311203319502075,0.0044649999999999,0.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
150.0,0,3.1556016597510377,0.0,0,1,33,0.6078,4.411764705882353,6.311203319502075,0.0040251655629139,0.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
45.0,0,3.1556016597510377,0.0,0,1,26,0.14219,1.6666666666666667,6.311203319502075,0.0030910869565217,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
30.0,0,3.1556016597510377,0.0,0,1,39,0.29904,0.75,6.311203319502075,0.0096464516129032,0.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
45.0,0,3.1556016597510377,0.0,0,1,1,0.40696,22.5,6.311203319502075,0.0088469565217391,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
75.0,0,3.1556016597510377,0.0,0,1,16,0.8874,4.411764705882353,6.311203319502075,0.0116763157894736,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
45.0,0,3.1556016597510377,0.0,0,1,104,0.36575,0.4285714285714285,6.311203319502075,0.0079510869565217,0.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
112.5,0,3.1556016597510377,0.0,0,1,48,0.30529,2.295918367346939,6.311203319502075,0.0026897797356828,0.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
15.0,0,3.1556016597510377,0.0,0,1,43,0.42681,0.3409090909090909,6.311203319502075,0.026675625,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
75.0,1,3.1556016597510377,0.0,0,1,57,0.35524,1.293103448275862,3.1556016597510377,0.0046742105263157,0.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
112.5,0,3.1556016597510377,0.0,0,1,39,0.13262,2.8125,6.311203319502075,0.0011684581497797,0.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
150.0,0,3.1556016597510377,0.0,0,1,140,0.58577,1.0638297872340423,6.311203319502075,0.0038792715231788,0.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
75.0,0,3.1556016597510377,0.0,0,1,67,0.14421,1.1029411764705883,6.311203319502075,0.0018975,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
75.0,0,3.1556016597510377,0.0,0,1,61,0.20768,1.2096774193548387,6.311203319502075,0.0027326315789473,0.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
