H2;CH4;C2H6;C2H4;C2H2;Fail
345;112,3;27,5;51,5;58,8;D1
181;262;41;28;0,001;T1
172,9;334;172;812,5;37,7;T3
127;107;11;154;224;D2
60;40;6,9;110;70;D2
220;340;42;480;14;T3
170;320;53;520;3,2;T3
27;90;42;73;0,2;T1
565;53;34;47;0,001;D1
56;286;96;28;7;T3
200;48;14;117;131;D2
78;161;86;353;10;T3
32,4;5,5;1,4;12,6;13,2;D2
41;65;22;58;0,001;T2
20;48;36;186;0,001;T3
179;306;73;579;0,001;T3
73;177;37;52;0,001;T2
39;7;12;65;0,001;T3
37;96;19;57;0,001;T2
46;147;27;150;0,001;T3
18;63;20;51;0,001;T2
28;62;16;76;0,001;T3
68;78;103;136;0,001;T3
54;143;23;101;0,001;T2
19;47;27;62;0,001;T2
86;277;63;338;0,001;T3
20;19;45;77;0,001;T3
25;49;42;58;0,001;T2
53;150;64;379;0,001;T3
114;241;80;574;0,001;T3
99;288;73;386;0,001;T3
1374;2648;628;5376;298;T3
34;83;100;136;0,001;T3
20;132;61;17;0,001;T1
13;138;83;16;0,001;T1
43;116;65;139;0,001;T2
179;306;73;579;0,001;T3
57;141;38;51;0,001;T2
35;283;121;222;0,001;T2
15;159;29;87;0,001;T2
55;159;114;493;0,001;T3
37;123;67;52;0,001;T1
7;15;78;58;0,001;T1
30;51;12;54;0,001;T3
31;56;33;77;0,001;T2
109;226;68;192;0,001;T2
137;279;66;505;0,001;T3
59;119;36;70;0,001;T2
151;242;68;232;0,001;T2
870;77;73;54;14;PD
376;575;146;1092;0,001;T3
17;40;11;86;0,001;T3
90;313;67;566;10;T1
23;6;172;23;31;T1
103;74;80;9;0,001;T1
124;166;87;59;0,001;T1
295;1466;331;1295;32;T2
80;619;326;2480;0,001;T2
231;3997;1726;5584;0,001;T2
507;1053;297;1440;17;T2
2587;7,88;4,7;1,4;0,001;D1
240;20;5;28;96;D1
160;10;3;1;1;D1
56;61;75;32;31;D1
