Source_ID,H2,CH4,C2H6,C2H4,C2H2,Type,Source
1,3930.0,2397.0,157.0,0.0,0.0,PD,dataset1
2,37800.0,1740.0,249.0,8.0,8.0,PD,dataset1
3,92600.0,10200.0,0.0,0.0,0.0,PD,dataset1
4,8266.0,1061.0,22.0,0.0,0.0,PD,dataset1
5,9340.0,995.0,60.0,6.0,7.0,PD,dataset1
6,36036.0,4704.0,554.0,5.0,10.0,PD,dataset1
7,33046.0,619.0,58.0,2.0,0.0,PD,dataset1
8,40280.0,1069.0,1060.0,1.0,1.0,PD,dataset1
9,26788.0,18342.0,2111.0,27.0,0.0,PD,dataset1
10,78.0,20.0,11.0,13.0,28.0,D1,dataset1
11,305.0,100.0,33.0,161.0,541.0,D1,dataset1
12,35.0,6.0,3.0,26.0,482.0,D1,dataset1
13,543.0,120.0,41.0,411.0,1880.0,D1,dataset1
14,1230.0,163.0,27.0,233.0,692.0,D1,dataset1
15,645.0,86.0,13.0,110.0,317.0,D1,dataset1
16,60.0,10.0,4.0,4.0,4.0,D1,dataset1
17,95.0,10.0,0.0,11.0,39.0,D1,dataset1
18,6870.0,1028.0,79.0,900.0,5500.0,D1,dataset1
19,10092.0,5399.0,530.0,6500.0,37565.0,D1,dataset1
20,650.0,81.0,170.0,51.0,270.0,D1,dataset1
21,210.0,22.0,6.0,6.0,7.0,D1,dataset1
22,385.0,60.0,8.0,53.0,159.0,D1,dataset1
23,4230.0,690.0,5.0,196.0,1180.0,D1,dataset1
24,7600.0,1230.0,318.0,836.0,1560.0,D1,dataset1
25,595.0,80.0,9.0,89.0,244.0,D1,dataset1
26,120.0,25.0,1.0,8.0,40.0,D1,dataset1
27,8.0,0.0,0.0,43.0,101.0,D1,dataset1
28,6454.0,2313.0,121.0,2159.0,6432.0,D1,dataset1
29,2177.0,1049.0,207.0,440.0,705.0,D1,dataset1
30,1790.0,580.0,321.0,336.0,619.0,D1,dataset1
31,1330.0,10.0,20.0,66.0,182.0,D1,dataset1
32,4.0,1.0,2.0,7.0,52.0,D1,dataset1
33,1900.0,285.0,31.0,957.0,7730.0,D1,dataset1
34,57.0,24.0,2.0,27.0,30.0,D1,dataset1
35,1000.0,500.0,1.0,400.0,500.0,D1,dataset1
36,440.0,89.0,19.0,304.0,757.0,D2,dataset1
37,210.0,43.0,12.0,102.0,187.0,D2,dataset1
38,2850.0,1115.0,138.0,1987.0,3675.0,D2,dataset1
39,7020.0,1850.0,0.0,2960.0,4410.0,D2,dataset1
40,545.0,130.0,16.0,153.0,239.0,D2,dataset1
41,7150.0,1440.0,97.0,1210.0,1760.0,D2,dataset1
42,620.0,325.0,38.0,181.0,244.0,D2,dataset1
43,120.0,31.0,0.0,66.0,94.0,D2,dataset1
44,755.0,229.0,32.0,404.0,460.0,D2,dataset1
45,5100.0,1430.0,0.0,1140.0,1010.0,D2,dataset1
46,13500.0,6110.0,212.0,4510.0,4040.0,D2,dataset1
47,1570.0,1110.0,175.0,1780.0,1830.0,D2,dataset1
48,3090.0,5020.0,323.0,3800.0,2540.0,D2,dataset1
49,1820.0,405.0,35.0,365.0,634.0,D2,dataset1
50,535.0,160.0,16.0,305.0,680.0,D2,dataset1
51,13.0,3.0,1.0,3.0,6.0,D2,dataset1
52,137.0,67.0,7.0,53.0,104.0,D2,dataset1
53,1084.0,188.0,8.0,166.0,769.0,D2,dataset1
54,34.0,21.0,4.0,49.0,56.0,D2,dataset1
55,7940.0,2000.0,355.0,3120.0,5390.0,D2,dataset1
56,150.0,130.0,9.0,55.0,30.0,D2,dataset1
57,8200.0,3790.0,250.0,4620.0,5830.0,D2,dataset1
58,260.0,215.0,35.0,334.0,277.0,D2,dataset1
59,75.0,15.0,7.0,14.0,26.0,D2,dataset1
60,530.0,345.0,85.0,266.0,250.0,D2,dataset1
61,60.0,5.0,2.0,21.0,21.0,D2,dataset1
62,90.0,28.0,8.0,31.0,32.0,D2,dataset1
63,220.0,77.0,22.0,170.0,240.0,D2,dataset1
64,5900.0,1500.0,68.0,1200.0,2300.0,D2,dataset1
65,420.0,250.0,41.0,530.0,800.0,D2,dataset1
66,2800.0,2800.0,234.0,3500.0,3600.0,D2,dataset1
67,99.0,170.0,20.0,200.0,190.0,D2,dataset1
68,310.0,230.0,54.0,610.0,760.0,D2,dataset1
69,800.0,160.0,23.0,260.0,600.0,D2,dataset1
70,1500.0,395.0,28.0,395.0,323.0,D2,dataset1
71,20000.0,13000.0,1850.0,29000.0,57000.0,D2,dataset1
72,305.0,85.0,25.0,197.0,130.0,D2,dataset1
73,1900.0,530.0,35.0,383.0,434.0,D2,dataset1
74,110.0,62.0,90.0,140.0,250.0,D2,dataset1
75,3700.0,1690.0,128.0,2810.0,3270.0,D2,dataset1
76,2770.0,660.0,54.0,712.0,763.0,D2,dataset1
77,245.0,120.0,18.0,131.0,167.0,D2,dataset1
78,1170.0,255.0,18.0,312.0,325.0,D2,dataset1
79,4419.0,3564.0,668.0,2861.0,2025.0,D2,dataset1
80,810.0,280.0,111.0,570.0,490.0,D2,dataset1
81,5000.0,1200.0,83.0,1000.0,1100.0,D2,dataset1
82,10000.0,6730.0,345.0,7330.0,10400.0,D2,dataset1
83,1570.0,735.0,87.0,1330.0,1740.0,D2,dataset1
84,8800.0,64064.0,72128.0,95650.0,0.0,T3,dataset1
85,6709.0,10500.0,1400.0,17700.0,750.0,T3,dataset1
86,1100.0,1600.0,221.0,2010.0,26.0,T3,dataset1
87,290.0,966.0,299.0,1810.0,57.0,T3,dataset1
88,2500.0,10500.0,4790.0,13500.0,6.0,T3,dataset1
89,1860.0,4980.0,0.0,10700.0,1600.0,T3,dataset1
90,860.0,1670.0,30.0,2050.0,40.0,T3,dataset1
91,150.0,22.0,9.0,60.0,11.0,T3,dataset1
92,400.0,940.0,210.0,820.0,24.0,T3,dataset1
93,6.0,2990.0,29990.0,26076.0,67.0,T3,dataset1
94,100.0,200.0,110.0,670.0,11.0,T3,dataset1
95,290.0,1260.0,231.0,820.0,8.0,T3,dataset1
96,1550.0,2740.0,816.0,5450.0,184.0,T3,dataset1
97,3910.0,4290.0,626.0,6040.0,1230.0,T3,dataset1
98,12705.0,23498.0,6047.0,34257.0,5188.0,T3,dataset1
99,1.0,8.0,8.0,100.0,6.0,T3,dataset1
100,300.0,700.0,280.0,1700.0,36.0,T3,dataset1
101,107.0,143.0,34.0,222.0,2.0,T3,dataset1
102,54.54,71.93,9.72,97.37,6.58,T3,dataset1
